Unit,Zone,Oct-2023,Oct-2024
Bachelor,Zone 1 - Downtown,1364,1448
Bachelor,Zone 2 - Beltline,1214,1303
Bachelor,Zone 3 - North Hill,1197,1379
Bachelor,Zone 4 - Southwest,994,994
Bachelor,Zone 5 - Southeast,1342,1342
Bachelor,Zone 6 - Northwest,967,967
Bachelor,Zone 7 - Northeast,1335,1335
Bachelor,Zone 8 - Chinook,1040,1565
Bachelor,Zone 9 - Fish Creek,1182,1445
Bachelor,Zone 10 - Other Centres,1303,1413
1 Bedroom,Zone 1 - Downtown,1513,1578
1 Bedroom,Zone 2 - Beltline,1630,1612
1 Bedroom,Zone 3 - North Hill,1330,1426
1 Bedroom,Zone 4 - Southwest,1354,1714
1 Bedroom,Zone 5 - Southeast,1416,1591
1 Bedroom,Zone 6 - Northwest,1322,1575
1 Bedroom,Zone 7 - Northeast,1335,1525
1 Bedroom,Zone 8 - Chinook,1392,1545
1 Bedroom,Zone 9 - Fish Creek,1400,1668
1 Bedroom,Zone 10 - Other Centres,1303,1413
2 Bedroom,Zone 1 - Downtown,1994,1994
2 Bedroom,Zone 2 - Beltline,1882,2046
2 Bedroom,Zone 3 - North Hill,1725,1874
2 Bedroom,Zone 4 - Southwest,1548,1834
2 Bedroom,Zone 5 - Southeast,1627,1784
2 Bedroom,Zone 6 - Northwest,1531,1769
2 Bedroom,Zone 7 - Northeast,1628,1858
2 Bedroom,Zone 8 - Chinook,1565,1911
2 Bedroom,Zone 9 - Fish Creek,1680,1827
2 Bedroom,Zone 10 - Other Centres,1561,1830
3 Bedroom +,Zone 1 - Downtown,1994,1994
3 Bedroom +,Zone 2 - Beltline,2261,2297
3 Bedroom +,Zone 3 - North Hill,2188,2263
3 Bedroom +,Zone 4 - Southwest,1547,1493
3 Bedroom +,Zone 5 - Southeast,1574,1636
3 Bedroom +,Zone 6 - Northwest,1739,2052
3 Bedroom +,Zone 7 - Northeast,1966,2125
3 Bedroom +,Zone 8 - Chinook,1628,2098
3 Bedroom +,Zone 9 - Fish Creek,1601,1835
3 Bedroom +,Zone 10 - Other Centres,2049,2245
Total,Zone 1 - Downtown,1676,1716
Total,Zone 2 - Beltline,1700,1768
Total,Zone 3 - North Hill,1529,1657
Total,Zone 4 - Southwest,1445,1744
Total,Zone 5 - Southeast,1531,1681
Total,Zone 6 - Northwest,1491,1727
Total,Zone 7 - Northeast,1632,1834
Total,Zone 8 - Chinook,1475,1757
Total,Zone 9 - Fish Creek,1596,1788
Total,Zone 10 - Other Centres,1508,1744
